"formulae","statistic","p.value","parameter","method...5","method...6","n","effsize.Kruskal-Wallis chi-squared","magnitude"
"moisture ~ b_t",4.15648148148151,0.041475476561396,1,"Kruskal-Wallis rank sum test","eta2[H]","66","0.0493200231481485","1"
"om ~ b_t",1.33070933515873,0.248679065534971,1,"Kruskal-Wallis rank sum test","eta2[H]","66","0.00516733336185515","1"
"mf ~ b_t",1.33070933515873,0.248679065534971,1,"Kruskal-Wallis rank sum test","eta2[H]","66","0.00516733336185515","1"
"ph ~ b_t",0.527359446102834,0.467719123587798,1,"Kruskal-Wallis rank sum test","eta2[H]","66","-0.00738500865464322","1"
"mn_ppb ~ b_t",0.0251282497174259,0.874047908872241,1,"Kruskal-Wallis rank sum test","eta2[H]","66","-0.0152323710981652","1"
"al_ppb ~ b_t",1.50667970022809,0.219646434548935,1,"Kruskal-Wallis rank sum test","eta2[H]","66","0.00791687031606392","1"
"fe_ppb ~ b_t",0.157706093189944,0.691277302131528,1,"Kruskal-Wallis rank sum test","eta2[H]","66","-0.0131608422939071","1"
"c_cl_ppm ~ b_t",0.340909090909093,0.559304946892256,1,"Kruskal-Wallis rank sum test","eta2[H]","66","-0.0102982954545454","1"
"c_nitrate_ppm ~ b_t",0.0470588235293974,0.828262540835337,1,"Kruskal-Wallis rank sum test","eta2[H]","66","-0.0148897058823532","1"
"c_so4_ppm ~ b_t",0.157598499061905,0.691377213459591,1,"Kruskal-Wallis rank sum test","eta2[H]","66","-0.0131625234521577","1"
"abs_254 ~ b_t",0.0833099579242855,0.772860980952316,1,"Kruskal-Wallis rank sum test","eta2[H]","66","-0.014323281907433","1"
"abs_365 ~ b_t",0.206875390989881,0.649227541966946,1,"Kruskal-Wallis rank sum test","eta2[H]","66","-0.0123925720157831","1"
"doc_254 ~ b_t",0.00925666199159991,0.923352559291936,1,"Kruskal-Wallis rank sum test","eta2[H]","66","-0.0154803646563813","1"
"e254_356 ~ b_t",0.780390156827735,0.377021842526384,1,"Kruskal-Wallis rank sum test","eta2[H]","66","-0.00343140379956663","1"
