"formulae...1","statistic...2","p.value","parameter","method...5","method...6","n","effsize.Kruskal-Wallis chi-squared","magnitude","formulae...10",".y.","group1","group2","n1","n2","statistic...16","p","p.adj","p.adj.signif"
"abs_254 ~ x",12.9068181818182,0.00157514319888726,2,"Kruskal-Wallis rank sum test","eta2[H]","33","0.363560606060606","3","abs_254 ~ x","abs_254","0","10",10,11,61,0.705,1,"ns"
"abs_254 ~ x",NA,NA,NA,NA,NA,NA,NA,NA,"abs_254 ~ x","abs_254","0","20",10,10,5,0.000206,0.000618,"***"
"abs_254 ~ x",NA,NA,NA,NA,NA,NA,NA,NA,"abs_254 ~ x","abs_254","10","20",11,10,15,0.004,0.011,"*"
"abs_365 ~ x",12.3945747800586,0.00203494316336227,2,"Kruskal-Wallis rank sum test","eta2[H]","33","0.346485826001955","3","abs_365 ~ x","abs_365","0","10",10,11,52,0.863,1,"ns"
"abs_365 ~ x",NA,NA,NA,NA,NA,NA,NA,NA,"abs_365 ~ x","abs_365","0","20",10,10,1,2.17e-05,6.51e-05,"****"
"abs_365 ~ x",NA,NA,NA,NA,NA,NA,NA,NA,"abs_365 ~ x","abs_365","10","20",11,10,22,0.02,0.059,"ns"
"al_ppb ~ x",10.60392228739,0.00498181426676588,2,"Kruskal-Wallis rank sum test","eta2[H]","33","0.286797409579667","3","al_ppb ~ x","al_ppb","0","10",10,11,21,0.016,0.048,"*"
"al_ppb ~ x",NA,NA,NA,NA,NA,NA,NA,NA,"al_ppb ~ x","al_ppb","0","20",10,10,7,0.000487,0.001,"**"
"al_ppb ~ x",NA,NA,NA,NA,NA,NA,NA,NA,"al_ppb ~ x","al_ppb","10","20",11,10,64,0.557,1,"ns"
"c_cl_ppm ~ x",0.700136054421769,0.704640153383932,2,"Kruskal-Wallis rank sum test","eta2[H]","33","-0.043328798185941","1","c_cl_ppm ~ x","c_cl_ppm","0","10",7,10,27,0.475,1,"ns"
"c_cl_ppm ~ x",NA,NA,NA,NA,NA,NA,NA,NA,"c_cl_ppm ~ x","c_cl_ppm","0","20",7,3,10,1,1,"ns"
"c_cl_ppm ~ x",NA,NA,NA,NA,NA,NA,NA,NA,"c_cl_ppm ~ x","c_cl_ppm","10","20",10,3,18,0.692,1,"ns"
"c_nitrate_ppm ~ x",3.88995215311004,0.142990644125981,2,"Kruskal-Wallis rank sum test","eta2[H]","33","0.0629984051036682","2","c_nitrate_ppm ~ x","c_nitrate_ppm","0","10",6,11,15,0.078,0.235,"ns"
