x,y,B_T,lat,lon,elev,sample_collect,moisture_content_wet_g_g,moisture_content_wet_%,OM_g,OM_%,MF_%,ph,ICP_dilution_factor,55_Mn_CPS,55_Mn_calc_conc_undil_ppb,55_Mn_meas_conc_undil_ppb,75_As_CPS,75_As_calc_conc_undil_ppb,75_As_meas_conc_undil_ppb,27_Al_CPS,27_Al_calc_conc_undil_ppb,27_Al_meas_conc_undil_ppb,56_Fe_CPS,56_Fe_calc_conc_undil_ppb,56_Fe_meas_conc_undil_ppb,57_Fe_CPS,57_Fe_calc_conc_undil_ppb,57_Fe_meas_conc_undil_ppb,IC_dilution_factor,peak_Cl_area_usmin,c_Cl_calc_undil_ppm,c_Cl_measure_undil_ppm,peak_Nitrite_area_usmin,c_Nitrite_calc_undil_ppm,c_Nitrite_measure_undil_ppm,peak_Nitrate_area_usmin,c_Nitrate_calc_undil_ppm,c_Nitrate_measure_undil_ppm,peak_SO4_area_usmin,c_SO4_calc_undil_ppm,c_SO4_measure_undil_ppm,254_fin_corr,365_fin_corr,E2_254_corr/E3_corr,undil_DOC_ABC_254_mg_L
0,0,T,55.25034497,-4.484439986,336.470032,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,10,T,55.25023601,-4.484469993,331.824219,1,0.6982,69.8166,0.4134,41.3428,58.6572,4.42,5,712110.22,379.14,392.53,3737.17,NA,NA,124383.24,1308.78,1442.59,10692970.26,3361.68,3624.58,276623.07,3446.19,3715.48,5.0000,0.5493,12.7424,12.6550,0.0585,NA,NA,0.0308,NA,1.2595,0.2212,8.5228,8.5225,0.470,0.127,3.689,31.130
0,20,T,55.250206,-4.484504024,333.713623,1,0.6894,68.9360,0.3287,32.8734,67.1266,5.04,5,1922096.74,1050.08,1060.84,8398.14,NA,NA,189711.42,2077.52,2210.03,24942317.13,8988.08,8471.44,643767.06,9198.97,8667.21,5.0000,0.3871,8.5466,8.4525,NA,NA,NA,0.1109,3.0018,4.7545,0.1521,6.0152,6.0160,0.523,0.177,2.962,24.729
0,30,T,55.250139,-4.484643,NA,1,0.7071,70.7101,0.5351,53.5086,46.4914,4.22,5,132889.63,57.96,72.62,1000.37,NA,NA,81549.64,804.75,939.41,4860461.91,1058.69,1640.67,125131.42,1072.46,1672.29,5.0000,0.3373,NA,7.1620,NA,NA,NA,0.0375,-0.2759,1.5510,0.1116,4.5454,4.5445,0.481,0.136,3.528,30.166
0,40,T,55.25006996,-4.484717008,441.845154,1,0.7870,78.6961,0.8196,81.9574,18.0426,4.31,5,85485.96,31.68,46.44,1559.76,NA,NA,155242.21,1671.91,1805.11,5968376.16,1496.16,2017.52,153702.78,1520.15,2057.64,5.0000,0.2515,NA,NA,NA,NA,NA,NA,NA,NA,0.0946,4.2064,4.5700,0.585,0.158,3.703,38.710
0,50,T,55.24994499,-4.484790014,349.35733,1,0.7862,78.6205,0.6869,68.6902,31.3098,4.09,10,73942.18,50.56,80.11,956.04,NA,NA,50963.11,889.65,1160.19,4085948.06,1505.75,2754.44,103343.92,1462.15,2756.88,10.0000,0.1744,NA,NA,NA,NA,NA,0.0164,-0.0572,NA,0.0803,4.6973,4.6970,0.868,0.251,3.456,52.314
0,60,T,55.249875,-4.484792026,342.237671,1,0.8525,85.2457,0.8672,86.7163,13.2837,4.00,5,35828.40,4.14,19.01,1950.47,NA,NA,106203.48,1094.85,1229.03,3021591.83,332.61,1015.18,77729.65,329.72,1032.98,5.0000,0.3852,8.4975,8.4020,NA,NA,NA,NA,NA,NA,0.1500,5.9389,5.9415,0.741,0.212,3.485,45.241
0,70,T,55.24976897,-4.484817004,312.739471,1,0.8602,86.0227,0.8496,84.9624,15.0376,4.12,5,41437.02,7.25,22.11,3229.70,NA,NA,84503.32,839.50,974.11,10662821.09,3349.78,3614.32,274321.94,3410.13,3684.45,5.0000,0.2810,NA,NA,NA,NA,NA,NA,NA,NA,0.1306,5.2349,5.2355,0.881,0.228,3.865,60.693
0,80,T,55.24969001,-4.484905014,337.297089,1,0.8438,84.3792,0.7493,74.9304,25.0696,4.42,5,41684.29,7.39,22.24,2666.93,NA,NA,63265.78,589.59,724.62,11722978.99,3768.38,3974.93,302113.40,3845.60,4059.27,5.0000,0.4106,9.1545,9.0610,NA,NA,NA,0.0204,NA,0.8075,0.1022,4.2042,4.2060,0.543,0.162,3.352,31.668
0,90,T,55.24961097,-4.484949019,371.585449,1,0.7855,78.5490,0.4978,49.7799,50.2201,4.88,5,675683.27,358.94,372.41,5504.07,NA,NA,241415.81,2685.94,2817.43,18505157.64,6446.35,6281.86,482050.75,6665.04,6486.12,5.0000,0.5006,11.4827,11.3930,NA,NA,NA,0.0761,1.4478,3.2375,0.0728,3.1373,3.1360,0.617,0.178,3.470,37.582
0,100,T,55.24963796,-4.484948013,343.086823,1,0.7432,74.3184,0.3281,32.8066,67.1934,5.03,5,1602179.87,872.69,884.14,3232.04,NA,NA,143570.18,1534.56,1667.99,11314747.33,3607.19,3836.07,292973.70,3702.39,3936.01,5.0000,0.3446,NA,7.3530,NA,NA,NA,0.0455,0.0814,1.9000,0.0635,2.7998,2.8010,0.234,0.081,2.878,10.835
0,0,B,55.25034497,-4.484439986,336.470032,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,10,B,55.25023601,-4.484469993,331.824219,1,0.4892,48.9204,0.1553,15.5317,84.4683,4.99,5,1347252.22,731.33,743.34,9727.64,NA,NA,768789.44,8891.70,9012.71,15709529.77,5342.49,5330.94,409028.99,5520.86,5501.26,5.0000,0.4157,9.2873,9.1938,NA,NA,NA,0.0136,NA,0.5100,0.2863,10.8854,10.8865,0.817,0.238,3.434,48.834
0,20,B,55.250206,-4.484504024,333.713623,1,0.5909,59.0907,0.2518,25.1771,74.8229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,30,B,55.250139,-4.484643,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,40,B,55.25006996,-4.484717008,441.845154,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,50,B,55.24994499,-4.484790014,349.35733,1,0.7947,79.4684,0.6547,65.4708,34.5292,4.16,5,11448.25,NA,NA,962.04,NA,NA,137848.80,1467.23,1600.78,3310391.72,446.64,1113.42,85446.60,450.64,1137.06,5.0000,0.2334,NA,NA,NA,NA,NA,0.2242,8.5718,9.5425,0.1067,4.6316,4.9910,0.503,0.150,3.357,29.450
