Sample,,,,,,,27  Al  [ He ] ,,55  Mn  [ He ] ,,56  Fe  [ He ] ,,57  Fe  [ He ] ,,75  As  [ He ] ,,45  Sc ( ISTD )  [ He ] ,,103  Rh ( ISTD )  [ He ] ,,193  Ir ( ISTD )  [ He ] ,
,Rjct,Data File,Acq. Date-Time,Type,Level,Sample Name,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD
,False,001SMPL.d,16/11/2023 11:31:28,Sample,,blk,,,,,,,,,,,,,,,,
56  Fe  [ He ] :  CPS RSD value = 5.02 is over the allowed maximum = 5.00,False,002SMPL.d,16/11/2023 11:33:07,Sample,,blk,,,,,,,,,,,,,,,,
,False,003SMPL.d,16/11/2023 11:34:49,Sample,,blk,,,,,,,,,,,,,,,,
,False,004CALB.d,16/11/2023 11:36:26,CalBlk,1,0 ppb ,0.000,N/A,0.000,N/A,0.000,N/A,0.000,N/A,0.000,N/A,,,,,,
,False,005CALS.d,16/11/2023 11:38:07,CalStd,2,0.5 ppb m16 + Al,<0.000,N/A,0.480,6.0,<0.000,N/A,<0.000,N/A,0.498,5.8,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 135.23 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 137.11 is outside the allowed range [80.00, 120.00]",False,006CALS.d,16/11/2023 11:39:48,CalStd,3,1 ppb m16 + Al,2.847,3.6,1.047,3.0,<0.000,N/A,<0.000,N/A,0.999,3.5,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 158.50 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 166.42 is outside the allowed range [80.00, 120.00]",False,007CALS.d,16/11/2023 11:41:33,CalStd,4,5 ppb m16 + Al,2.904,4.0,5.433,2.6,4.015,2.7,4.327,3.8,5.038,0.9,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 191.39 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 202.01 is outside the allowed range [80.00, 120.00]",False,008CALS.d,16/11/2023 11:43:15,CalStd,5,10 ppb m16 + Al,49.820,2.6,10.731,2.5,9.689,2.2,9.603,9.8,10.054,2.0,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 226.75 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 246.55 is outside the allowed range [80.00, 120.00]",False,009CALS.d,16/11/2023 11:44:54,CalStd,6,50 ppb m16 + Al,50.403,2.3,54.312,1.9,52.543,1.3,51.522,1.1,50.413,1.4,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 294.14 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 306.45 is outside the allowed range [80.00, 120.00]",False,010CALS.d,16/11/2023 11:46:38,CalStd,7,100 ppb m16 + Al,101.095,1.7,108.717,1.3,104.811,1.4,102.531,4.2,100.807,1.4,,,,,,
