Sample,,,,,,,,27  Al  [ He ] ,,55  Mn  [ He ] ,,56  Fe  [ He ] ,,57  Fe  [ He ] ,,75  As  [ He ] ,,45  Sc ( ISTD )  [ He ] ,,103  Rh ( ISTD )  [ He ] ,,193  Ir ( ISTD )  [ He ] ,
,Rjct,number,Data File,Acq. Date-Time,Type,Level,Sample Name,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD
,FALSE,1,001SMPL.d,16/11/2023 11:31,Sample,,blk,590.48,32.7,1360.11,3.2,17354.31,1,823.48,12.8,13,23.1,33.33,69.3,110.01,0,590.03,12.8
56  Fe  [ He ] :  CPS RSD value = 5.02 is over the allowed maximum = 5.00,FALSE,2,002SMPL.d,16/11/2023 11:33,Sample,,blk,464.68,2.5,690.04,20.4,19800.71,5,920.06,12.3,15.67,35.2,46.67,53.9,140,21.4,600.04,10.1
,FALSE,3,003SMPL.d,16/11/2023 11:34,Sample,,blk,396.34,1.7,383.36,15.9,16036.1,1.6,636.71,17.3,8.67,6.7,6288.22,3.6,54600.29,0.4,1123.42,3.1
,FALSE,4,004CALB.d,16/11/2023 11:36,CalBlk,1,0 ppb ,1582.6,17.1,1416.78,12.4,37050.13,2.8,1140.09,15.9,32.33,26.3,2707.03,9,22608.86,3.4,763.38,9.5
,FALSE,5,005CALS.d,16/11/2023 11:38,CalStd,2,0.5 ppb m16 + Al,838.36,3.9,5757.99,4.5,25336.75,2.8,950.06,9.2,1315.4,5.6,2790.38,1.9,26562.51,1.3,773.39,7.9
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 135.23 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 137.11 is outside the allowed range [80.00, 120.00]",FALSE,6,006CALS.d,16/11/2023 11:39,CalStd,3,1 ppb m16 + Al,2843.62,1.6,10894.51,2.6,34793.45,2.6,1130.23,20,2604.24,3.4,3660.59,9.5,30998.35,3.4,760.05,29.7
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 158.50 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 166.42 is outside the allowed range [80.00, 120.00]",FALSE,7,007CALS.d,16/11/2023 11:41,CalStd,4,5 ppb m16 + Al,2868.62,1.8,50599.4,2.6,94460.08,1.6,2737.01,2.2,13001.57,0.9,4290.77,0.8,37624.87,1.9,796.73,3.8
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 191.39 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 202.01 is outside the allowed range [80.00, 120.00]",FALSE,8,008CALS.d,16/11/2023 11:43,CalStd,5,10 ppb m16 + Al,23647.48,2.4,98558.31,2.5,175602.19,1.7,4684.25,7.4,25914.34,2,5181.09,4.7,45672.01,1.6,800.06,12.1
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 226.75 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 246.55 is outside the allowed range [80.00, 120.00]",FALSE,9,009CALS.d,16/11/2023 11:44,CalStd,6,50 ppb m16 + Al,23905.89,2.1,493088.85,1.9,788426.84,1.2,20154.63,1,129814.73,1.4,6138.16,4.1,55741.53,3.2,750.05,10.1
