Sample,,,,,,,27  Al  [ He ] ,,55  Mn  [ He ] ,,56  Fe  [ He ] ,,57  Fe  [ He ] ,,75  As  [ He ] ,,45  Sc ( ISTD )  [ He ] ,,103  Rh ( ISTD )  [ He ] ,,193  Ir ( ISTD )  [ He ] ,
,Rjct,Data File,Acq. Date-Time,Type,Level,Sample Name,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD
,False,001SMPL.d,16/11/2023 11:31:28,Sample,,blk,,,,,,,,,,,,,,,,
56  Fe  [ He ] :  CPS RSD value = 5.02 is over the allowed maximum = 5.00,False,002SMPL.d,16/11/2023 11:33:07,Sample,,blk,,,,,,,,,,,,,,,,
,False,003SMPL.d,16/11/2023 11:34:49,Sample,,blk,,,,,,,,,,,,,,,,
,False,004CALB.d,16/11/2023 11:36:26,CalBlk,1,0 ppb ,0.000,N/A,0.000,N/A,0.000,N/A,0.000,N/A,0.000,N/A,,,,,,
,False,005CALS.d,16/11/2023 11:38:07,CalStd,2,0.5 ppb m16 + Al,<0.000,N/A,0.491,6.0,<0.000,N/A,<0.000,N/A,0.470,5.8,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 135.23 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 137.11 is outside the allowed range [80.00, 120.00]",False,006CALS.d,16/11/2023 11:39:48,CalStd,3,1 ppb m16 + Al,2.963,3.6,1.071,3.0,<0.000,N/A,<0.000,N/A,0.942,3.5,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 158.50 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 166.42 is outside the allowed range [80.00, 120.00]",False,007CALS.d,16/11/2023 11:41:33,CalStd,4,5 ppb m16 + Al,3.021,4.0,5.559,2.6,3.906,2.7,4.308,3.8,4.751,0.9,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 191.39 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 202.01 is outside the allowed range [80.00, 120.00]",False,008CALS.d,16/11/2023 11:43:15,CalStd,5,10 ppb m16 + Al,51.841,2.6,10.979,2.5,9.426,2.2,9.560,9.8,9.481,2.0,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 226.75 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 246.55 is outside the allowed range [80.00, 120.00]",False,009CALS.d,16/11/2023 11:44:54,CalStd,6,50 ppb m16 + Al,52.448,2.3,55.569,1.9,51.116,1.3,51.290,1.1,47.543,1.4,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 294.14 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 306.45 is outside the allowed range [80.00, 120.00]",False,010CALS.d,16/11/2023 11:46:38,CalStd,7,100 ppb m16 + Al,105.196,1.7,111.233,1.3,101.963,1.4,102.070,4.2,95.070,1.4,,,,,,
