"","Wavelength..nm.","Absorbance"
"1",250,0.563
"2",251,0.559
"3",252,0.554
"4",253,0.549
"5",254,0.544
"6",255,0.54
"7",256,0.536
"8",257,0.532
"9",258,0.528
"10",259,0.524
"11",260,0.52
"12",261,0.516
"13",262,0.513
"14",263,0.509
"15",264,0.505
"16",265,0.501
"17",266,0.497
"18",267,0.493
"19",268,0.49
"20",269,0.486
"21",270,0.482
"22",271,0.478
"23",272,0.474
"24",273,0.47
"25",274,0.465
"26",275,0.461
"27",276,0.457
"28",277,0.452
"29",278,0.448
"30",279,0.444
"31",280,0.439
"32",281,0.434
"33",282,0.43
"34",283,0.425
"35",284,0.42
"36",285,0.414
"37",286,0.409
"38",287,0.404
"39",288,0.398
"40",289,0.393
"41",290,0.388
"42",291,0.383
"43",292,0.378
"44",293,0.372
"45",294,0.367
"46",295,0.362
"47",296,0.357
"48",297,0.352
"49",298,0.348
"50",299,0.343
"51",300,0.338
"52",301,0.334
"53",302,0.329
"54",303,0.325
"55",304,0.321
"56",305,0.317
"57",306,0.313
"58",307,0.309
"59",308,0.305
"60",309,0.301
"61",310,0.297
"62",311,0.293
"63",312,0.29
"64",313,0.286
"65",314,0.283
"66",315,0.279
"67",316,0.275
"68",317,0.272
"69",318,0.268
"70",319,0.265
"71",320,0.262
"72",321,0.258
"73",322,0.255
"74",323,0.252
"75",324,0.249
"76",325,0.246
"77",326,0.242
"78",327,0.239
"79",328,0.236
"80",329,0.233
"81",330,0.23
"82",331,0.227
"83",332,0.224
"84",333,0.221
"85",334,0.218
"86",335,0.215
"87",336,0.212
"88",337,0.209
"89",338,0.206
"90",339,0.202
"91",340,0.199
"92",341,0.197
"93",342,0.193
"94",343,0.19
"95",344,0.188
"96",345,0.185
"97",346,0.182
"98",347,0.179
"99",348,0.176
"100",349,0.174
"101",350,0.171
"102",351,0.168
"103",352,0.166
"104",353,0.163
"105",354,0.161
"106",355,0.158
"107",356,0.156
"108",357,0.153
"109",358,0.151
"110",359,0.149
"111",360,0.147
"112",361,0.144
"113",362,0.142
"114",363,0.14
"115",364,0.138
"116",365,0.135
"117",366,0.133
"118",367,0.131
"119",368,0.129
"120",369,0.127
"121",370,0.125
"122",371,0.123
"123",372,0.122
"124",373,0.12
"125",374,0.118
"126",375,0.116
"127",376,0.114
"128",377,0.113
"129",378,0.111
"130",379,0.11
"131",380,0.108
"132",381,0.106
"133",382,0.105
"134",383,0.103
"135",384,0.102
"136",385,0.1
"137",386,0.099
"138",387,0.098
"139",388,0.096
"140",389,0.095
"141",390,0.094
"142",391,0.092
"143",392,0.091
"144",393,0.09
"145",394,0.089
"146",395,0.088
"147",396,0.087
"148",397,0.086
"149",398,0.085
"150",399,0.083
"151",400,0.082
"152",401,0.081
"153",402,0.08
"154",403,0.08
"155",404,0.079
"156",405,0.078
"157",406,0.077
"158",407,0.076
"159",408,0.075
"160",409,0.074
"161",410,0.073
"162",411,0.072
"163",412,0.071
"164",413,0.07
"165",414,0.07
"166",415,0.069
"167",416,0.068
"168",417,0.067
"169",418,0.066
"170",419,0.065
"171",420,0.064
"172",421,0.063
"173",422,0.063
"174",423,0.062
"175",424,0.061
"176",425,0.06
"177",426,0.06
"178",427,0.059
"179",428,0.058
"180",429,0.058
"181",430,0.057
"182",431,0.057
"183",432,0.056
"184",433,0.055
"185",434,0.055
"186",435,0.054
"187",436,0.054
"188",437,0.053
"189",438,0.053
"190",439,0.052
"191",440,0.052
"192",441,0.051
"193",442,0.051
"194",443,0.05
"195",444,0.05
"196",445,0.049
"197",446,0.049
"198",447,0.049
"199",448,0.048
"200",449,0.048
"201",450,0.047
"202",451,0.047
"203",452,0.047
"204",453,0.046
"205",454,0.046
"206",455,0.045
"207",456,0.045
"208",457,0.045
"209",458,0.044
"210",459,0.044
"211",460,0.044
"212",461,0.043
"213",462,0.043
"214",463,0.043
"215",464,0.042
"216",465,0.042
"217",466,0.042
"218",467,0.041
"219",468,0.041
"220",469,0.041
"221",470,0.04
"222",471,0.04
"223",472,0.04
"224",473,0.039
"225",474,0.039
"226",475,0.039
"227",476,0.039
"228",477,0.038
"229",478,0.038
"230",479,0.038
"231",480,0.037
"232",481,0.037
"233",482,0.037
"234",483,0.036
"235",484,0.036
"236",485,0.036
"237",486,0.035
"238",487,0.035
"239",488,0.035
"240",489,0.034
"241",490,0.034
"242",491,0.034
"243",492,0.034
"244",493,0.033
"245",494,0.033
"246",495,0.033
"247",496,0.032
"248",497,0.032
"249",498,0.032
"250",499,0.031
"251",500,0.031
"252",501,0.031
"253",502,0.031
"254",503,0.03
"255",504,0.03
"256",505,0.03
"257",506,0.029
"258",507,0.029
"259",508,0.029
"260",509,0.029
"261",510,0.028
"262",511,0.028
"263",512,0.028
"264",513,0.027
"265",514,0.027
"266",515,0.027
"267",516,0.027
"268",517,0.026
"269",518,0.026
"270",519,0.026
"271",520,0.026
"272",521,0.025
"273",522,0.025
"274",523,0.025
"275",524,0.025
"276",525,0.024
"277",526,0.024
"278",527,0.024
"279",528,0.024
"280",529,0.023
"281",530,0.023
"282",531,0.023
"283",532,0.023
"284",533,0.023
"285",534,0.022
"286",535,0.022
"287",536,0.022
"288",537,0.022
"289",538,0.021
"290",539,0.021
"291",540,0.021
"292",541,0.021
"293",542,0.021
"294",543,0.02
"295",544,0.02
"296",545,0.02
"297",546,0.02
"298",547,0.02
"299",548,0.019
"300",549,0.019
"301",550,0.019
"302",551,0.019
"303",552,0.019
"304",553,0.019
"305",554,0.018
"306",555,0.018
"307",556,0.018
"308",557,0.018
"309",558,0.018
"310",559,0.018
"311",560,0.017
"312",561,0.017
"313",562,0.017
"314",563,0.017
"315",564,0.017
"316",565,0.016
"317",566,0.016
"318",567,0.016
"319",568,0.016
"320",569,0.016
"321",570,0.016
"322",571,0.015
"323",572,0.015
"324",573,0.015
"325",574,0.015
"326",575,0.015
"327",576,0.015
"328",577,0.014
"329",578,0.014
"330",579,0.014
"331",580,0.014
"332",581,0.014
"333",582,0.014
"334",583,0.014
"335",584,0.013
"336",585,0.013
"337",586,0.013
"338",587,0.013
"339",588,0.013
"340",589,0.013
"341",590,0.013
"342",591,0.013
"343",592,0.012
"344",593,0.012
"345",594,0.012
"346",595,0.012
"347",596,0.012
"348",597,0.012
"349",598,0.012
"350",599,0.012
"351",600,0.012
"352",601,0.011
"353",602,0.011
"354",603,0.011
"355",604,0.011
"356",605,0.011
"357",606,0.011
"358",607,0.011
"359",608,0.011
"360",609,0.01
"361",610,0.01
"362",611,0.01
"363",612,0.01
"364",613,0.01
"365",614,0.01
"366",615,0.01
"367",616,0.009
"368",617,0.009
"369",618,0.009
"370",619,0.009
"371",620,0.009
"372",621,0.009
"373",622,0.009
"374",623,0.009
"375",624,0.008
"376",625,0.008
"377",626,0.008
"378",627,0.008
"379",628,0.008
"380",629,0.008
"381",630,0.008
"382",631,0.007
"383",632,0.007
"384",633,0.007
"385",634,0.007
"386",635,0.007
"387",636,0.007
"388",637,0.007
"389",638,0.007
"390",639,0.006
"391",640,0.006
"392",641,0.006
"393",642,0.006
"394",643,0.006
"395",644,0.006
"396",645,0.006
"397",646,0.006
"398",647,0.006
"399",648,0.006
"400",649,0.005
"401",650,0.005
"402",651,0.005
"403",652,0.005
"404",653,0.005
"405",654,0.005
"406",655,0.005
"407",656,0.005
"408",657,0.005
"409",658,0.005
"410",659,0.005
"411",660,0.004
"412",661,0.004
"413",662,0.004
"414",663,0.004
"415",664,0.004
"416",665,0.004
