"","Wavelength..nm.","Absorbance"
"1",250,0.125
"2",251,0.124
"3",252,0.123
"4",253,0.122
"5",254,0.12
"6",255,0.119
"7",256,0.118
"8",257,0.117
"9",258,0.116
"10",259,0.115
"11",260,0.114
"12",261,0.113
"13",262,0.112
"14",263,0.111
"15",264,0.111
"16",265,0.11
"17",266,0.109
"18",267,0.109
"19",268,0.108
"20",269,0.107
"21",270,0.107
"22",271,0.106
"23",272,0.105
"24",273,0.105
"25",274,0.104
"26",275,0.103
"27",276,0.103
"28",277,0.102
"29",278,0.101
"30",279,0.101
"31",280,0.1
"32",281,0.099
"33",282,0.098
"34",283,0.098
"35",284,0.097
"36",285,0.096
"37",286,0.095
"38",287,0.094
"39",288,0.094
"40",289,0.093
"41",290,0.092
"42",291,0.091
"43",292,0.09
"44",293,0.089
"45",294,0.088
"46",295,0.087
"47",296,0.086
"48",297,0.085
"49",298,0.084
"50",299,0.083
"51",300,0.082
"52",301,0.081
"53",302,0.079
"54",303,0.078
"55",304,0.077
"56",305,0.076
"57",306,0.075
"58",307,0.074
"59",308,0.072
"60",309,0.071
"61",310,0.07
"62",311,0.068
"63",312,0.067
"64",313,0.066
"65",314,0.065
"66",315,0.063
"67",316,0.062
"68",317,0.061
"69",318,0.06
"70",319,0.059
"71",320,0.058
"72",321,0.057
"73",322,0.056
"74",323,0.056
"75",324,0.055
"76",325,0.054
"77",326,0.054
"78",327,0.053
"79",328,0.053
"80",329,0.052
"81",330,0.052
"82",331,0.051
"83",332,0.051
"84",333,0.05
"85",334,0.05
"86",335,0.049
"87",336,0.049
"88",337,0.048
"89",338,0.048
"90",339,0.048
"91",340,0.047
"92",341,0.047
"93",342,0.046
"94",343,0.046
"95",344,0.045
"96",345,0.045
"97",346,0.045
"98",347,0.045
"99",348,0.044
"100",349,0.044
"101",350,0.044
"102",351,0.043
"103",352,0.043
"104",353,0.042
"105",354,0.042
"106",355,0.042
"107",356,0.041
"108",357,0.041
"109",358,0.04
"110",359,0.04
"111",360,0.039
"112",361,0.039
"113",362,0.038
"114",363,0.038
"115",364,0.037
"116",365,0.036
"117",366,0.036
"118",367,0.035
"119",368,0.034
"120",369,0.033
"121",370,0.033
"122",371,0.032
"123",372,0.031
"124",373,0.03
"125",374,0.029
"126",375,0.029
"127",376,0.028
"128",377,0.027
"129",378,0.026
"130",379,0.025
"131",380,0.024
"132",381,0.024
"133",382,0.023
"134",383,0.022
"135",384,0.021
"136",385,0.021
"137",386,0.02
"138",387,0.019
"139",388,0.018
"140",389,0.018
"141",390,0.017
"142",391,0.017
"143",392,0.016
"144",393,0.016
"145",394,0.015
"146",395,0.015
"147",396,0.014
"148",397,0.014
"149",398,0.013
"150",399,0.013
"151",400,0.013
"152",401,0.012
"153",402,0.012
"154",403,0.012
"155",404,0.011
"156",405,0.011
"157",406,0.011
"158",407,0.01
"159",408,0.01
"160",409,0.01
"161",410,0.01
"162",411,0.009
"163",412,0.009
"164",413,0.009
"165",414,0.009
"166",415,0.008
"167",416,0.008
"168",417,0.008
"169",418,0.007
"170",419,0.007
"171",420,0.007
"172",421,0.006
"173",422,0.006
"174",423,0.006
"175",424,0.006
"176",425,0.005
"177",426,0.005
"178",427,0.005
"179",428,0.005
"180",429,0.004
"181",430,0.004
"182",431,0.004
"183",432,0.004
"184",433,0.003
"185",434,0.003
"186",435,0.003
"187",436,0.003
"188",437,0.002
"189",438,0.002
"190",439,0.002
"191",440,0.002
"192",441,0.002
"193",442,0.002
"194",443,0.001
"195",444,0.001
"196",445,0.001
"197",446,0.001
"198",447,0.001
"199",448,0.001
"200",449,0.001
"201",450,0.001
"202",451,0.001
"203",452,0.001
"204",453,0.001
"205",454,0.001
"206",455,0.001
"207",456,0.001
"208",457,0.001
"209",458,0.001
"210",459,0.001
"211",460,0.001
"212",461,0.001
"213",462,0.001
"214",463,0.001
"215",464,0.001
"216",465,0.001
"217",466,0.001
"218",467,0.001
"219",468,0.001
"220",469,0.001
"221",470,0
"222",471,0
"223",472,0
"224",473,0
"225",474,0
"226",475,0
"227",476,0
"228",477,0
"229",478,0
"230",479,0
"231",480,0
"232",481,0
"233",482,0
"234",483,0
"235",484,0
"236",485,0
"237",486,0
"238",487,0
"239",488,-0.001
"240",489,-0.001
"241",490,-0.001
"242",491,-0.001
"243",492,-0.001
"244",493,-0.001
"245",494,-0.001
"246",495,-0.001
"247",496,-0.001
"248",497,-0.001
"249",498,-0.001
"250",499,-0.002
"251",500,-0.002
"252",501,-0.002
"253",502,-0.002
"254",503,-0.002
"255",504,-0.002
"256",505,-0.002
"257",506,-0.002
"258",507,-0.002
"259",508,-0.002
"260",509,-0.002
"261",510,-0.002
"262",511,-0.002
"263",512,-0.002
"264",513,-0.003
"265",514,-0.003
"266",515,-0.003
"267",516,-0.003
"268",517,-0.003
"269",518,-0.003
"270",519,-0.003
"271",520,-0.003
"272",521,-0.003
"273",522,-0.003
"274",523,-0.003
"275",524,-0.003
"276",525,-0.003
"277",526,-0.003
"278",527,-0.003
"279",528,-0.003
"280",529,-0.003
"281",530,-0.003
"282",531,-0.004
"283",532,-0.004
"284",533,-0.004
"285",534,-0.004
"286",535,-0.004
"287",536,-0.004
"288",537,-0.004
"289",538,-0.004
"290",539,-0.004
"291",540,-0.004
"292",541,-0.004
"293",542,-0.004
"294",543,-0.004
"295",544,-0.004
"296",545,-0.004
"297",546,-0.004
"298",547,-0.004
"299",548,-0.004
"300",549,-0.004
"301",550,-0.004
"302",551,-0.004
"303",552,-0.004
"304",553,-0.004
"305",554,-0.004
"306",555,-0.004
"307",556,-0.004
"308",557,-0.004
"309",558,-0.004
"310",559,-0.004
"311",560,-0.004
"312",561,-0.004
"313",562,-0.004
"314",563,-0.004
"315",564,-0.004
"316",565,-0.004
"317",566,-0.004
"318",567,-0.004
"319",568,-0.004
"320",569,-0.004
"321",570,-0.004
"322",571,-0.004
"323",572,-0.004
"324",573,-0.004
"325",574,-0.004
"326",575,-0.004
"327",576,-0.004
"328",577,-0.004
"329",578,-0.004
"330",579,-0.004
"331",580,-0.004
"332",581,-0.004
"333",582,-0.004
"334",583,-0.004
"335",584,-0.004
"336",585,-0.005
"337",586,-0.005
"338",587,-0.005
"339",588,-0.005
"340",589,-0.005
"341",590,-0.005
"342",591,-0.005
"343",592,-0.005
"344",593,-0.005
"345",594,-0.005
"346",595,-0.005
"347",596,-0.005
"348",597,-0.005
"349",598,-0.005
"350",599,-0.005
"351",600,-0.005
"352",601,-0.005
"353",602,-0.005
"354",603,-0.005
"355",604,-0.005
"356",605,-0.005
"357",606,-0.005
"358",607,-0.005
"359",608,-0.005
"360",609,-0.005
"361",610,-0.005
"362",611,-0.005
"363",612,-0.005
"364",613,-0.005
"365",614,-0.005
"366",615,-0.005
"367",616,-0.005
"368",617,-0.005
"369",618,-0.005
"370",619,-0.005
"371",620,-0.005
"372",621,-0.005
"373",622,-0.005
"374",623,-0.005
"375",624,-0.005
"376",625,-0.005
"377",626,-0.005
"378",627,-0.005
"379",628,-0.005
"380",629,-0.005
"381",630,-0.005
"382",631,-0.005
"383",632,-0.005
"384",633,-0.005
"385",634,-0.005
"386",635,-0.005
"387",636,-0.005
"388",637,-0.005
"389",638,-0.005
"390",639,-0.005
"391",640,-0.005
"392",641,-0.005
"393",642,-0.005
"394",643,-0.005
"395",644,-0.005
"396",645,-0.005
"397",646,-0.005
"398",647,-0.005
"399",648,-0.005
"400",649,-0.005
"401",650,-0.005
"402",651,-0.005
"403",652,-0.005
"404",653,-0.005
"405",654,-0.005
"406",655,-0.005
"407",656,-0.005
"408",657,-0.005
"409",658,-0.005
"410",659,-0.005
"411",660,-0.005
"412",661,-0.004
"413",662,-0.004
"414",663,-0.004
