"","Wavelength..nm.","Absorbance"
"1",250,0.383
"2",251,0.381
"3",252,0.378
"4",253,0.375
"5",254,0.372
"6",255,0.369
"7",256,0.366
"8",257,0.363
"9",258,0.36
"10",259,0.357
"11",260,0.355
"12",261,0.352
"13",262,0.349
"14",263,0.346
"15",264,0.344
"16",265,0.341
"17",266,0.338
"18",267,0.335
"19",268,0.333
"20",269,0.33
"21",270,0.327
"22",271,0.325
"23",272,0.322
"24",273,0.319
"25",274,0.317
"26",275,0.314
"27",276,0.311
"28",277,0.309
"29",278,0.306
"30",279,0.304
"31",280,0.301
"32",281,0.298
"33",282,0.296
"34",283,0.293
"35",284,0.29
"36",285,0.288
"37",286,0.285
"38",287,0.283
"39",288,0.28
"40",289,0.278
"41",290,0.275
"42",291,0.273
"43",292,0.27
"44",293,0.268
"45",294,0.265
"46",295,0.263
"47",296,0.26
"48",297,0.258
"49",298,0.255
"50",299,0.253
"51",300,0.251
"52",301,0.248
"53",302,0.246
"54",303,0.243
"55",304,0.241
"56",305,0.239
"57",306,0.236
"58",307,0.234
"59",308,0.232
"60",309,0.23
"61",310,0.227
"62",311,0.225
"63",312,0.223
"64",313,0.221
"65",314,0.219
"66",315,0.216
"67",316,0.214
"68",317,0.212
"69",318,0.21
"70",319,0.208
"71",320,0.207
"72",321,0.205
"73",322,0.203
"74",323,0.201
"75",324,0.199
"76",325,0.198
"77",326,0.196
"78",327,0.195
"79",328,0.193
"80",329,0.192
"81",330,0.19
"82",331,0.188
"83",332,0.187
"84",333,0.185
"85",334,0.184
"86",335,0.182
"87",336,0.181
"88",337,0.179
"89",338,0.178
"90",339,0.176
"91",340,0.175
"92",341,0.173
"93",342,0.172
"94",343,0.17
"95",344,0.169
"96",345,0.167
"97",346,0.166
"98",347,0.165
"99",348,0.163
"100",349,0.162
"101",350,0.16
"102",351,0.159
"103",352,0.157
"104",353,0.156
"105",354,0.154
"106",355,0.153
"107",356,0.152
"108",357,0.15
"109",358,0.148
"110",359,0.147
"111",360,0.146
"112",361,0.144
"113",362,0.143
"114",363,0.141
"115",364,0.139
"116",365,0.138
"117",366,0.136
"118",367,0.134
"119",368,0.133
"120",369,0.131
"121",370,0.13
"122",371,0.128
"123",372,0.127
"124",373,0.125
"125",374,0.123
"126",375,0.122
"127",376,0.12
"128",377,0.118
"129",378,0.117
"130",379,0.115
"131",380,0.114
"132",381,0.112
"133",382,0.111
"134",383,0.109
"135",384,0.108
"136",385,0.106
"137",386,0.105
"138",387,0.103
"139",388,0.102
"140",389,0.101
