"","Wavelength..nm.","Absorbance"
"1",250,0.356
"2",251,0.354
"3",252,0.352
"4",253,0.35
"5",254,0.348
"6",255,0.345
"7",256,0.343
"8",257,0.34
"9",258,0.338
"10",259,0.335
"11",260,0.332
"12",261,0.329
"13",262,0.326
"14",263,0.323
"15",264,0.32
"16",265,0.316
"17",266,0.312
"18",267,0.309
"19",268,0.305
"20",269,0.302
"21",270,0.298
"22",271,0.294
"23",272,0.291
"24",273,0.287
"25",274,0.283
"26",275,0.28
"27",276,0.276
"28",277,0.272
"29",278,0.269
"30",279,0.265
"31",280,0.261
"32",281,0.258
"33",282,0.254
"34",283,0.251
"35",284,0.247
"36",285,0.244
"37",286,0.24
"38",287,0.237
"39",288,0.234
"40",289,0.231
"41",290,0.228
"42",291,0.225
"43",292,0.222
"44",293,0.219
"45",294,0.216
"46",295,0.213
"47",296,0.21
"48",297,0.207
"49",298,0.205
"50",299,0.202
"51",300,0.199
"52",301,0.196
"53",302,0.193
"54",303,0.191
"55",304,0.188
"56",305,0.185
"57",306,0.183
"58",307,0.18
"59",308,0.177
"60",309,0.175
"61",310,0.172
"62",311,0.17
"63",312,0.167
"64",313,0.165
"65",314,0.162
"66",315,0.159
"67",316,0.157
"68",317,0.155
"69",318,0.152
"70",319,0.15
"71",320,0.148
"72",321,0.146
"73",322,0.144
"74",323,0.142
"75",324,0.14
"76",325,0.138
"77",326,0.136
"78",327,0.134
"79",328,0.132
"80",329,0.13
"81",330,0.128
"82",331,0.127
"83",332,0.125
"84",333,0.123
"85",334,0.122
"86",335,0.12
"87",336,0.118
"88",337,0.116
"89",338,0.115
"90",339,0.113
"91",340,0.111
"92",341,0.11
"93",342,0.108
"94",343,0.107
"95",344,0.105
"96",345,0.104
"97",346,0.102
"98",347,0.101
"99",348,0.099
"100",349,0.098
"101",350,0.096
"102",351,0.095
"103",352,0.093
"104",353,0.092
"105",354,0.091
"106",355,0.089
"107",356,0.088
"108",357,0.086
"109",358,0.085
"110",359,0.084
"111",360,0.082
"112",361,0.081
"113",362,0.08
"114",363,0.079
"115",364,0.077
"116",365,0.076
"117",366,0.074
"118",367,0.073
"119",368,0.072
"120",369,0.07
"121",370,0.069
"122",371,0.068
"123",372,0.067
"124",373,0.065
"125",374,0.064
"126",375,0.063
"127",376,0.062
"128",377,0.061
"129",378,0.059
"130",379,0.058
"131",380,0.057
"132",381,0.056
"133",382,0.055
"134",383,0.054
"135",384,0.053
"136",385,0.052
"137",386,0.051
"138",387,0.05
