"","Wavelength..nm.","Absorbance"
"1",250,0.006
"2",251,0.006
"3",252,0.006
"4",253,0.005
"5",254,0.005
"6",255,0.005
"7",256,0.005
"8",257,0.005
"9",258,0.005
"10",259,0.005
"11",260,0.005
"12",261,0.005
"13",262,0.005
"14",263,0.005
"15",264,0.005
"16",265,0.005
"17",266,0.005
"18",267,0.005
"19",268,0.005
"20",269,0.005
"21",270,0.005
"22",271,0.005
"23",272,0.005
"24",273,0.005
"25",274,0.005
"26",275,0.004
"27",276,0.004
"28",277,0.004
"29",278,0.004
"30",279,0.004
"31",280,0.003
"32",281,0.003
"33",282,0.003
"34",283,0.002
"35",284,0.002
"36",285,0.001
"37",286,0.001
"38",287,0.001
"39",288,0
"40",289,0
"41",290,-0.001
"42",291,-0.001
"43",292,-0.002
"44",293,-0.002
"45",294,-0.003
"46",295,-0.003
"47",296,-0.004
"48",297,-0.005
"49",298,-0.005
"50",299,-0.006
"51",300,-0.007
"52",301,-0.007
"53",302,-0.008
"54",303,-0.008
"55",304,-0.009
"56",305,-0.01
"57",306,-0.011
"58",307,-0.011
"59",308,-0.011
"60",309,-0.012
"61",310,-0.012
"62",311,-0.012
"63",312,-0.012
"64",313,-0.013
"65",314,-0.013
"66",315,-0.013
"67",316,-0.013
"68",317,-0.013
"69",318,-0.013
"70",319,-0.013
"71",320,-0.014
"72",321,-0.014
"73",322,-0.013
"74",323,-0.013
"75",324,-0.013
"76",325,-0.013
"77",326,-0.013
"78",327,-0.013
"79",328,-0.013
"80",329,-0.013
"81",330,-0.013
"82",331,-0.012
"83",332,-0.012
"84",333,-0.012
"85",334,-0.012
"86",335,-0.012
"87",336,-0.012
"88",337,-0.012
"89",338,-0.012
"90",339,-0.011
"91",340,-0.011
"92",341,-0.009
"93",342,-0.009
"94",343,-0.009
"95",344,-0.009
"96",345,-0.009
"97",346,-0.009
"98",347,-0.009
"99",348,-0.009
"100",349,-0.009
"101",350,-0.008
"102",351,-0.008
"103",352,-0.008
"104",353,-0.008
"105",354,-0.008
"106",355,-0.008
"107",356,-0.008
"108",357,-0.008
"109",358,-0.008
"110",359,-0.007
"111",360,-0.007
"112",361,-0.007
"113",362,-0.007
"114",363,-0.007
"115",364,-0.007
"116",365,-0.007
"117",366,-0.007
"118",367,-0.007
"119",368,-0.006
"120",369,-0.006
"121",370,-0.006
"122",371,-0.006
"123",372,-0.006
"124",373,-0.006
"125",374,-0.006
"126",375,-0.006
"127",376,-0.006
"128",377,-0.006
"129",378,-0.005
"130",379,-0.005
"131",380,-0.005
"132",381,-0.005
"133",382,-0.005
"134",383,-0.005
"135",384,-0.005
"136",385,-0.005
"137",386,-0.005
"138",387,-0.005
"139",388,-0.005
"140",389,-0.005
"141",390,-0.005
"142",391,-0.004
"143",392,-0.004
"144",393,-0.004
"145",394,-0.004
"146",395,-0.004
"147",396,-0.004
