Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,0-40-T-3
Sample ID:,3
Edinburgh
Analyst:,Alexandra
Date/Time:,19/10/2023 13:22:45
Comments:,Triplicate
Parameter File Name:,Uvvis_confirm_alexandra.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.12
[Instrument Information]
Instrument Name:,UV
Instrument Type:,UV-1900 Series
Model (S/N):,1900 (A12535951280)

Parameter
[Measurement]
Start:,665 nm
End:,250 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Light Source Switch Wavelength:,340.00
S/R Switch:,Standard
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
250.0,0.563
251.0,0.559
252.0,0.554
253.0,0.549
254.0,0.544
255.0,0.540
256.0,0.536
257.0,0.532
258.0,0.528
259.0,0.524
260.0,0.520
261.0,0.516
262.0,0.513
263.0,0.509
264.0,0.505
265.0,0.501
266.0,0.497
267.0,0.493
268.0,0.490
269.0,0.486
270.0,0.482
271.0,0.478
272.0,0.474
273.0,0.470
274.0,0.465
275.0,0.461
276.0,0.457
277.0,0.452
278.0,0.448
279.0,0.444
280.0,0.439
281.0,0.434
282.0,0.430
283.0,0.425
284.0,0.420
285.0,0.414
286.0,0.409
287.0,0.404
288.0,0.398
289.0,0.393
290.0,0.388
291.0,0.383
292.0,0.378
293.0,0.372
294.0,0.367
295.0,0.362
296.0,0.357
297.0,0.352
298.0,0.348
299.0,0.343
300.0,0.338
301.0,0.334
302.0,0.329
303.0,0.325
304.0,0.321
305.0,0.317
306.0,0.313
307.0,0.309
308.0,0.305
309.0,0.301
310.0,0.297
311.0,0.293
312.0,0.290
313.0,0.286
314.0,0.283
315.0,0.279
316.0,0.275
317.0,0.272
318.0,0.268
319.0,0.265
320.0,0.262
321.0,0.258
322.0,0.255
323.0,0.252
324.0,0.249
325.0,0.246
326.0,0.242
327.0,0.239
328.0,0.236
329.0,0.233
330.0,0.230
331.0,0.227
332.0,0.224
333.0,0.221
334.0,0.218
335.0,0.215
336.0,0.212
337.0,0.209
338.0,0.206
339.0,0.202
340.0,0.199
341.0,0.197
342.0,0.193
343.0,0.190
344.0,0.188
345.0,0.185
346.0,0.182
347.0,0.179
348.0,0.176
349.0,0.174
350.0,0.171
351.0,0.168
352.0,0.166
353.0,0.163
354.0,0.161
355.0,0.158
356.0,0.156
357.0,0.153
358.0,0.151
359.0,0.149
360.0,0.147
361.0,0.144
362.0,0.142
363.0,0.140
364.0,0.138
365.0,0.135
366.0,0.133
367.0,0.131
368.0,0.129
369.0,0.127
370.0,0.125
371.0,0.123
372.0,0.122
373.0,0.120
374.0,0.118
375.0,0.116
376.0,0.114
377.0,0.113
378.0,0.111
379.0,0.110
380.0,0.108
381.0,0.106
382.0,0.105
383.0,0.103
384.0,0.102
385.0,0.100
386.0,0.099
387.0,0.098
388.0,0.096
389.0,0.095
390.0,0.094
391.0,0.092
392.0,0.091
393.0,0.090
394.0,0.089
395.0,0.088
396.0,0.087
397.0,0.086
398.0,0.085
399.0,0.083
400.0,0.082
401.0,0.081
402.0,0.080
403.0,0.080
404.0,0.079
405.0,0.078
406.0,0.077
407.0,0.076
408.0,0.075
409.0,0.074
410.0,0.073
411.0,0.072
412.0,0.071
413.0,0.070
414.0,0.070
415.0,0.069
416.0,0.068
417.0,0.067
418.0,0.066
419.0,0.065
420.0,0.064
421.0,0.063
422.0,0.063
423.0,0.062
424.0,0.061
425.0,0.060
426.0,0.060
427.0,0.059
428.0,0.058
429.0,0.058
430.0,0.057
431.0,0.057
432.0,0.056
433.0,0.055
434.0,0.055
435.0,0.054
436.0,0.054
437.0,0.053
438.0,0.053
439.0,0.052
440.0,0.052
441.0,0.051
442.0,0.051
443.0,0.050
444.0,0.050
445.0,0.049
446.0,0.049
447.0,0.049
448.0,0.048
449.0,0.048
450.0,0.047
451.0,0.047
452.0,0.047
453.0,0.046
454.0,0.046
455.0,0.045
456.0,0.045
457.0,0.045
458.0,0.044
459.0,0.044
460.0,0.044
461.0,0.043
462.0,0.043
463.0,0.043
464.0,0.042
465.0,0.042
466.0,0.042
467.0,0.041
468.0,0.041
469.0,0.041
470.0,0.040
471.0,0.040
472.0,0.040
473.0,0.039
474.0,0.039
475.0,0.039
476.0,0.039
477.0,0.038
478.0,0.038
479.0,0.038
480.0,0.037
481.0,0.037
482.0,0.037
483.0,0.036
484.0,0.036
485.0,0.036
486.0,0.035
487.0,0.035
488.0,0.035
489.0,0.034
490.0,0.034
491.0,0.034
492.0,0.034
493.0,0.033
494.0,0.033
495.0,0.033
496.0,0.032
