Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,10-20-B-1
Sample ID:,1
Edinburgh
Analyst:,Alexandra
Date/Time:,19/10/2023 13:26:26
Comments:,Triplicate
Parameter File Name:,Uvvis_confirm_alexandra.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.12
[Instrument Information]
Instrument Name:,UV
Instrument Type:,UV-1900 Series
Model (S/N):,1900 (A12535951280)

Parameter
[Measurement]
Start:,665 nm
End:,250 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Light Source Switch Wavelength:,340.00
S/R Switch:,Standard
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
250.0,0.151
251.0,0.150
252.0,0.149
253.0,0.148
254.0,0.146
255.0,0.145
256.0,0.144
257.0,0.143
258.0,0.142
259.0,0.141
260.0,0.140
261.0,0.140
262.0,0.139
263.0,0.138
264.0,0.137
265.0,0.137
266.0,0.136
267.0,0.135
268.0,0.135
269.0,0.134
270.0,0.133
271.0,0.133
272.0,0.132
273.0,0.132
274.0,0.131
275.0,0.131
276.0,0.130
277.0,0.129
278.0,0.129
279.0,0.128
280.0,0.127
281.0,0.127
282.0,0.126
283.0,0.125
284.0,0.124
285.0,0.123
286.0,0.123
287.0,0.122
288.0,0.121
289.0,0.120
290.0,0.120
291.0,0.119
292.0,0.118
293.0,0.117
294.0,0.116
295.0,0.115
296.0,0.114
297.0,0.113
298.0,0.112
299.0,0.111
300.0,0.110
301.0,0.108
302.0,0.107
303.0,0.106
304.0,0.105
305.0,0.104
306.0,0.103
307.0,0.102
308.0,0.100
309.0,0.099
310.0,0.098
311.0,0.097
312.0,0.095
313.0,0.094
314.0,0.093
315.0,0.091
316.0,0.090
317.0,0.089
318.0,0.088
319.0,0.087
320.0,0.086
