Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,20-30-B
Sample ID:,1
Edinburgh
Analyst:,Alexandra
Date/Time:,19/10/2023 14:41:01
Comments
Parameter File Name:,Uvvis_confirm_alexandra.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.12
[Instrument Information]
Instrument Name:,UV
Instrument Type:,UV-1900 Series
Model (S/N):,1900 (A12535951280)

Parameter
[Measurement]
Start:,665 nm
End:,250 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Light Source Switch Wavelength:,340.00
S/R Switch:,Standard
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
250.0,0.356
251.0,0.354
252.0,0.352
253.0,0.350
254.0,0.348
255.0,0.345
256.0,0.343
257.0,0.340
258.0,0.338
259.0,0.335
260.0,0.332
261.0,0.329
262.0,0.326
263.0,0.323
264.0,0.320
265.0,0.316
266.0,0.312
267.0,0.309
268.0,0.305
269.0,0.302
270.0,0.298
271.0,0.294
272.0,0.291
273.0,0.287
274.0,0.283
275.0,0.280
276.0,0.276
277.0,0.272
278.0,0.269
279.0,0.265
280.0,0.261
281.0,0.258
282.0,0.254
283.0,0.251
284.0,0.247
285.0,0.244
286.0,0.240
287.0,0.237
288.0,0.234
289.0,0.231
290.0,0.228
291.0,0.225
292.0,0.222
293.0,0.219
294.0,0.216
295.0,0.213
296.0,0.210
297.0,0.207
298.0,0.205
299.0,0.202
300.0,0.199
301.0,0.196
302.0,0.193
303.0,0.191
304.0,0.188
305.0,0.185
306.0,0.183
307.0,0.180
308.0,0.177
309.0,0.175
310.0,0.172
311.0,0.170
312.0,0.167
313.0,0.165
314.0,0.162
315.0,0.159
316.0,0.157
317.0,0.155
318.0,0.152
319.0,0.150
320.0,0.148
321.0,0.146
322.0,0.144
