Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,20-30-T
Sample ID:,1
Edinburgh
Analyst:,Alexandra
Date/Time:,19/10/2023 14:35:47
Comments
Parameter File Name:,Uvvis_confirm_alexandra.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.12
[Instrument Information]
Instrument Name:,UV
Instrument Type:,UV-1900 Series
Model (S/N):,1900 (A12535951280)

Parameter
[Measurement]
Start:,665 nm
End:,250 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Light Source Switch Wavelength:,340.00
S/R Switch:,Standard
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
250.0,0.773
251.0,0.768
252.0,0.762
253.0,0.757
254.0,0.751
255.0,0.746
256.0,0.740
257.0,0.735
258.0,0.730
259.0,0.724
260.0,0.719
261.0,0.714
262.0,0.709
263.0,0.703
264.0,0.698
265.0,0.692
266.0,0.686
267.0,0.681
268.0,0.676
269.0,0.670
270.0,0.665
271.0,0.659
272.0,0.654
273.0,0.648
274.0,0.642
275.0,0.637
276.0,0.631
277.0,0.626
278.0,0.620
279.0,0.615
280.0,0.610
281.0,0.604
282.0,0.599
283.0,0.593
284.0,0.587
285.0,0.582
286.0,0.576
287.0,0.571
288.0,0.566
289.0,0.560
290.0,0.555
291.0,0.549
292.0,0.544
293.0,0.538
294.0,0.533
295.0,0.528
296.0,0.523
297.0,0.518
298.0,0.513
299.0,0.508
300.0,0.503
301.0,0.498
302.0,0.493
303.0,0.489
304.0,0.484
305.0,0.479
306.0,0.474
307.0,0.469
308.0,0.465
309.0,0.460
310.0,0.455
311.0,0.451
312.0,0.446
313.0,0.441
314.0,0.437
315.0,0.432
316.0,0.427
317.0,0.423
318.0,0.418
319.0,0.414
320.0,0.410
321.0,0.405
322.0,0.401
323.0,0.397
324.0,0.393
325.0,0.389
326.0,0.385
327.0,0.381
328.0,0.377
329.0,0.373
330.0,0.369
331.0,0.366
332.0,0.362
333.0,0.358
334.0,0.354
335.0,0.350
336.0,0.347
337.0,0.343
338.0,0.339
339.0,0.335
340.0,0.332
341.0,0.328
342.0,0.324
343.0,0.320
344.0,0.317
345.0,0.313
346.0,0.310
347.0,0.306
348.0,0.303
349.0,0.299
350.0,0.296
351.0,0.292
352.0,0.289
353.0,0.285
354.0,0.282
355.0,0.279
356.0,0.275
357.0,0.272
358.0,0.269
359.0,0.265
360.0,0.262
361.0,0.258
362.0,0.255
363.0,0.252
364.0,0.248
365.0,0.245
366.0,0.241
367.0,0.238
368.0,0.234
369.0,0.231
370.0,0.228
371.0,0.225
372.0,0.221
373.0,0.218
374.0,0.215
375.0,0.212
376.0,0.208
377.0,0.205
378.0,0.202
379.0,0.199
380.0,0.196
381.0,0.193
382.0,0.190
383.0,0.187
384.0,0.184
385.0,0.181
386.0,0.179
387.0,0.176
388.0,0.173
389.0,0.170
390.0,0.168
391.0,0.165
392.0,0.162
393.0,0.160
394.0,0.158
395.0,0.155
396.0,0.153
397.0,0.151
398.0,0.148
399.0,0.146
400.0,0.144
401.0,0.142
402.0,0.140
403.0,0.138
404.0,0.136
405.0,0.134
406.0,0.132
407.0,0.130
408.0,0.128
409.0,0.126
410.0,0.124
411.0,0.122
412.0,0.121
413.0,0.119
414.0,0.117
415.0,0.115
416.0,0.114
417.0,0.112
418.0,0.110
419.0,0.109
420.0,0.107
421.0,0.105
422.0,0.104
423.0,0.102
424.0,0.101
425.0,0.099
426.0,0.098
427.0,0.096
428.0,0.095
429.0,0.094
430.0,0.092
431.0,0.091
432.0,0.090
433.0,0.088
434.0,0.087
435.0,0.086
436.0,0.084
437.0,0.083
438.0,0.082
439.0,0.081
440.0,0.080
441.0,0.079
442.0,0.077
443.0,0.076
444.0,0.075
445.0,0.074
446.0,0.073
447.0,0.072
448.0,0.072
449.0,0.071
450.0,0.070
451.0,0.069
452.0,0.068
453.0,0.067
454.0,0.066
455.0,0.066
456.0,0.065
457.0,0.064
458.0,0.063
459.0,0.063
460.0,0.062
461.0,0.061
462.0,0.061
463.0,0.060
464.0,0.059
465.0,0.059
466.0,0.058
467.0,0.057
468.0,0.057
469.0,0.056
470.0,0.056
471.0,0.055
472.0,0.054
473.0,0.054
474.0,0.053
475.0,0.053
476.0,0.052
477.0,0.051
478.0,0.051
479.0,0.050
480.0,0.050
481.0,0.049
482.0,0.049
483.0,0.048
484.0,0.048
485.0,0.047
486.0,0.046
487.0,0.046
488.0,0.045
489.0,0.045
490.0,0.044
491.0,0.044
492.0,0.043
493.0,0.043
494.0,0.042
495.0,0.042
496.0,0.041
497.0,0.040
498.0,0.040
499.0,0.039
500.0,0.039
501.0,0.038
502.0,0.038
503.0,0.037
504.0,0.037
505.0,0.036
506.0,0.036
507.0,0.035
508.0,0.035
509.0,0.034
510.0,0.034
511.0,0.033
512.0,0.033
513.0,0.033
514.0,0.032
515.0,0.032
516.0,0.031
517.0,0.031
518.0,0.030
519.0,0.030
520.0,0.029
521.0,0.029
522.0,0.029
523.0,0.028
524.0,0.028
525.0,0.027
526.0,0.027
527.0,0.027
528.0,0.026
529.0,0.026
530.0,0.025
531.0,0.025
532.0,0.025
533.0,0.024
534.0,0.024
535.0,0.024
536.0,0.023
537.0,0.023
538.0,0.023
539.0,0.022
540.0,0.022
541.0,0.022
542.0,0.022
543.0,0.021
544.0,0.021
545.0,0.021
546.0,0.020
547.0,0.020
548.0,0.020
549.0,0.020
550.0,0.019
551.0,0.019
552.0,0.019
553.0,0.019
554.0,0.018
555.0,0.018
556.0,0.018
557.0,0.018
558.0,0.017
559.0,0.017
560.0,0.017
561.0,0.017
562.0,0.016
563.0,0.016
564.0,0.016
565.0,0.016
566.0,0.015
567.0,0.015
568.0,0.015
569.0,0.015
570.0,0.015
571.0,0.014
572.0,0.014
573.0,0.014
574.0,0.014
575.0,0.014
576.0,0.013
577.0,0.013
578.0,0.013
579.0,0.013
580.0,0.013
581.0,0.013
582.0,0.012
583.0,0.012
584.0,0.012
585.0,0.012
586.0,0.012
587.0,0.012
588.0,0.011
589.0,0.011
590.0,0.011
591.0,0.011
592.0,0.011
593.0,0.011
594.0,0.011
595.0,0.011
596.0,0.010
597.0,0.010
598.0,0.010
599.0,0.010
600.0,0.010
601.0,0.010
602.0,0.010
603.0,0.009
604.0,0.009
605.0,0.009
606.0,0.009
607.0,0.009
608.0,0.009
609.0,0.009
610.0,0.009
611.0,0.008
612.0,0.008
613.0,0.008
614.0,0.008
615.0,0.008
616.0,0.008
617.0,0.008
618.0,0.007
619.0,0.007
620.0,0.007
621.0,0.007
622.0,0.007
623.0,0.007
624.0,0.007
625.0,0.007
626.0,0.006
627.0,0.006
628.0,0.006
629.0,0.006
630.0,0.006
631.0,0.006
632.0,0.006
633.0,0.006
634.0,0.006
635.0,0.005
636.0,0.005
637.0,0.005
638.0,0.005
639.0,0.005
640.0,0.005
641.0,0.005
642.0,0.005
643.0,0.005
644.0,0.005
645.0,0.005
646.0,0.005
647.0,0.004
648.0,0.004
649.0,0.004
650.0,0.004
651.0,0.004
652.0,0.004
653.0,0.004
654.0,0.004
655.0,0.004
656.0,0.004
657.0,0.004
658.0,0.004
659.0,0.004
660.0,0.004
661.0,0.004
662.0,0.004
663.0,0.003
664.0,0.003
665.0,0.003
