Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,Blank_3
Sample ID:,3
Edinburgh
Analyst:,Alexandra
Date/Time:,19/10/2023 12:40:26
Comments:,LOD
Parameter File Name:,Uvvis_confirm_alexandra.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.12
[Instrument Information]
Instrument Name:,UV
Instrument Type:,UV-1900 Series
Model (S/N):,1900 (A12535951280)

Parameter
[Measurement]
Start:,665 nm
End:,250 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Light Source Switch Wavelength:,340.00
S/R Switch:,Standard
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
250.0,-0.025
251.0,-0.025
252.0,-0.025
253.0,-0.025
254.0,-0.025
255.0,-0.025
256.0,-0.024
257.0,-0.024
258.0,-0.024
259.0,-0.024
260.0,-0.024
261.0,-0.024
262.0,-0.024
263.0,-0.023
264.0,-0.023
265.0,-0.023
266.0,-0.023
267.0,-0.023
268.0,-0.022
269.0,-0.022
270.0,-0.022
271.0,-0.022
272.0,-0.022
273.0,-0.022
274.0,-0.021
275.0,-0.022
276.0,-0.022
277.0,-0.022
278.0,-0.022
279.0,-0.022
280.0,-0.022
281.0,-0.022
282.0,-0.022
283.0,-0.022
284.0,-0.022
285.0,-0.022
286.0,-0.023
287.0,-0.023
288.0,-0.023
289.0,-0.023
290.0,-0.023
291.0,-0.023
292.0,-0.024
293.0,-0.024
294.0,-0.024
295.0,-0.025
296.0,-0.025
297.0,-0.026
298.0,-0.026
299.0,-0.027
300.0,-0.027
301.0,-0.028
302.0,-0.028
303.0,-0.028
304.0,-0.029
305.0,-0.029
306.0,-0.030
307.0,-0.030
308.0,-0.030
309.0,-0.030
310.0,-0.030
311.0,-0.030
312.0,-0.030
313.0,-0.031
314.0,-0.030
315.0,-0.031
316.0,-0.030
317.0,-0.030
318.0,-0.030
319.0,-0.030
320.0,-0.030
321.0,-0.030
322.0,-0.030
323.0,-0.029
324.0,-0.029
325.0,-0.029
326.0,-0.029
327.0,-0.028
328.0,-0.028
329.0,-0.028
330.0,-0.028
331.0,-0.027
332.0,-0.027
333.0,-0.027
334.0,-0.026
335.0,-0.026
336.0,-0.026
337.0,-0.026
338.0,-0.025
339.0,-0.025
340.0,-0.024
341.0,-0.023
342.0,-0.023
343.0,-0.023
344.0,-0.023
345.0,-0.022
346.0,-0.022
347.0,-0.022
348.0,-0.021
349.0,-0.021
350.0,-0.021
351.0,-0.021
352.0,-0.021
353.0,-0.020
354.0,-0.020
355.0,-0.020
356.0,-0.020
357.0,-0.019
358.0,-0.019
359.0,-0.019
360.0,-0.019
361.0,-0.018
362.0,-0.018
363.0,-0.018
364.0,-0.018
365.0,-0.017
366.0,-0.017
367.0,-0.017
368.0,-0.017
369.0,-0.017
370.0,-0.016
371.0,-0.016
372.0,-0.016
373.0,-0.016
374.0,-0.016
375.0,-0.015
376.0,-0.015
377.0,-0.015
378.0,-0.015
379.0,-0.015
380.0,-0.014
381.0,-0.014
382.0,-0.014
383.0,-0.014
384.0,-0.014
385.0,-0.014
386.0,-0.013
387.0,-0.013
388.0,-0.013
389.0,-0.013
390.0,-0.013
391.0,-0.013
392.0,-0.012
393.0,-0.012
394.0,-0.012
395.0,-0.012
396.0,-0.012
397.0,-0.012
398.0,-0.012
399.0,-0.011
400.0,-0.011
401.0,-0.011
402.0,-0.011
403.0,-0.011
404.0,-0.011
405.0,-0.011
406.0,-0.011
407.0,-0.011
408.0,-0.010
409.0,-0.010
410.0,-0.010
411.0,-0.010
412.0,-0.010
413.0,-0.010
414.0,-0.010
415.0,-0.010
416.0,-0.010
417.0,-0.009
418.0,-0.009
419.0,-0.009
420.0,-0.009
421.0,-0.009
422.0,-0.009
423.0,-0.009
424.0,-0.009
425.0,-0.009
426.0,-0.009
427.0,-0.009
428.0,-0.009
429.0,-0.008
430.0,-0.008
431.0,-0.008
432.0,-0.008
433.0,-0.008
434.0,-0.008
435.0,-0.008
436.0,-0.008
437.0,-0.008
438.0,-0.008
439.0,-0.008
440.0,-0.008
441.0,-0.008
442.0,-0.008
443.0,-0.007
444.0,-0.007
445.0,-0.007
446.0,-0.007
447.0,-0.007
448.0,-0.007
449.0,-0.007
450.0,-0.007
451.0,-0.007
452.0,-0.007
453.0,-0.007
454.0,-0.007
455.0,-0.007
456.0,-0.007
457.0,-0.007
458.0,-0.007
459.0,-0.007
460.0,-0.007
461.0,-0.006
462.0,-0.006
463.0,-0.006
464.0,-0.006
465.0,-0.006
466.0,-0.006
467.0,-0.006
468.0,-0.006
469.0,-0.006
470.0,-0.006
471.0,-0.006
472.0,-0.006
473.0,-0.006
474.0,-0.006
475.0,-0.006
476.0,-0.006
477.0,-0.006
478.0,-0.006
479.0,-0.006
480.0,-0.006
481.0,-0.006
482.0,-0.006
483.0,-0.006
484.0,-0.006
485.0,-0.006
486.0,-0.005
487.0,-0.005
488.0,-0.005
489.0,-0.005
490.0,-0.005
491.0,-0.005
492.0,-0.005
493.0,-0.005
494.0,-0.005
495.0,-0.005
496.0,-0.005
497.0,-0.005
498.0,-0.005
499.0,-0.005
500.0,-0.005
501.0,-0.005
502.0,-0.005
503.0,-0.005
504.0,-0.005
505.0,-0.005
506.0,-0.005
507.0,-0.005
508.0,-0.005
509.0,-0.005
510.0,-0.005
511.0,-0.005
512.0,-0.005
513.0,-0.005
514.0,-0.005
515.0,-0.005
516.0,-0.005
517.0,-0.005
518.0,-0.005
519.0,-0.005
520.0,-0.005
521.0,-0.005
522.0,-0.004
523.0,-0.004
524.0,-0.004
525.0,-0.004
526.0,-0.004
527.0,-0.004
528.0,-0.004
529.0,-0.004
530.0,-0.004
531.0,-0.004
532.0,-0.004
533.0,-0.004
534.0,-0.004
535.0,-0.004
536.0,-0.004
537.0,-0.004
538.0,-0.004
539.0,-0.004
540.0,-0.004
541.0,-0.004
542.0,-0.004
543.0,-0.004
544.0,-0.004
545.0,-0.004
546.0,-0.004
547.0,-0.004
548.0,-0.004
549.0,-0.004
550.0,-0.004
551.0,-0.004
552.0,-0.004
553.0,-0.004
554.0,-0.004
555.0,-0.004
556.0,-0.004
557.0,-0.004
558.0,-0.004
559.0,-0.004
