"","x","y","b_t","notes","250","252","254","275","295","364","365","452","465","665"
"1","0","10","B",NA,0.81,0.799,0.788,0.657,0.525,0.224,0.22,0.079,0.072,0.008
"2","0","10","T",NA,0.433,0.426,0.419,0.345,0.272,0.105,0.104,0.032,0.029,0.003
"3","0","40","T","1",0.581,0.571,0.562,0.476,0.374,0.143,0.141,0.049,0.044,0.004
"4","0","40","T","2",0.571,0.562,0.552,0.468,0.368,0.142,0.139,0.05,0.045,0.007
"5","0","40","T","3",0.563,0.554,0.544,0.461,0.362,0.138,0.135,0.047,0.042,0.004
"6","0","60","B",NA,0.403,0.396,0.39,0.327,0.261,0.097,0.095,0.03,0.026,0
"7","0","70","T",NA,0.974,0.958,0.942,0.785,0.625,0.235,0.231,0.076,0.068,0.013
"8","0","90","B",NA,1.599,1.58,1.56,1.402,1.228,0.625,0.615,0.111,0.102,0.007
"9","10","10","B",NA,0.648,0.638,0.629,0.54,0.46,0.217,0.213,0.045,0.04,0
"10","10","20","B","1",0.151,0.149,0.146,0.131,0.115,0.062,0.061,0.028,0.028,0.027
"11","10","20","B","2",0.125,0.123,0.12,0.103,0.087,0.037,0.036,0.001,0.001,-0.004
"12","10","20","B","3",0.122,0.12,0.117,0.101,0.085,0.036,0.035,0,0,-0.005
"13","10","40","T",NA,1.222,1.207,1.19,1.02,0.865,0.446,0.439,0.121,0.104,0.006
"14","10","70","T",NA,1.766,1.745,1.722,1.489,1.252,0.6,0.591,0.175,0.154,0.017
"15","10","80","T",NA,0.383,0.378,0.372,0.314,0.263,0.139,0.138,0.042,0.035,-0.001
"16","10","90","B",NA,-0.059,-0.058,-0.058,-0.055,-0.049,-0.032,-0.031,-0.016,-0.015,-0.007
"17","20","10","B",NA,2.089,2.07,2.044,1.79,1.498,0.705,0.694,0.195,0.175,0.022
"18","20","10","T",NA,1.708,1.686,1.662,1.417,1.15,0.485,0.478,0.153,0.137,0.02
"19","20","20","T","1",0.669,0.66,0.651,0.548,0.447,0.202,0.2,0.063,0.056,0.007
"20","20","20","T","2",0.672,0.663,0.653,0.55,0.449,0.204,0.201,0.063,0.056,0.006
"21","20","20","T","3",0.621,0.613,0.604,0.507,0.413,0.185,0.183,0.056,0.05,0.005
"22","20","30","B",NA,0.356,0.352,0.348,0.28,0.213,0.077,0.076,0.019,0.017,0.001
"23","20","30","T",NA,0.773,0.762,0.751,0.637,0.528,0.248,0.245,0.068,0.059,0.003
"24","20","70","T",NA,2.571,2.562,2.568,2.434,2.17,1.053,1.038,0.367,0.327,0.046
"25","Blank_1",NA,NA,NA,0,0,0,0,0,0,0,0,0,-0.001
"26","Blank_2",NA,NA,NA,0.006,0.006,0.005,0.004,-0.003,-0.007,-0.007,-0.002,-0.002,-0.001
"27","Blank_3",NA,NA,NA,-0.025,-0.025,-0.025,-0.022,-0.025,-0.018,-0.017,-0.007,-0.006,-0.003
"28","Blank_4",NA,NA,NA,-0.044,-0.044,-0.043,-0.038,-0.039,-0.026,-0.025,-0.011,-0.01,-0.005
"29","Blank_5",NA,NA,NA,-0.041,-0.041,-0.04,-0.036,-0.037,-0.025,-0.025,-0.011,-0.01,-0.004
"30","Blank_test_3ml_cuvette",NA,NA,NA,0.38,0.214,0.29,0.725,0.003,0,0,0,0,0
