eig
   ;eigenvalue;percentage of variance;cumulative percentage of variance;
comp 1;5.2518;58.3538;58.3538;
comp 2;2.0881;23.201;81.5548;
comp 3;0.6578;7.3087;88.8634;
comp 4;0.3872;4.302;93.1655;
comp 5;0.27;3.0002;96.1656;
comp 6;0.1614;1.7928;97.9584;
comp 7;0.1466;1.6287;99.5871;
comp 8;0.0372;0.4129;100;
comp 9;0;0;100;

var
coord
   ;Dim.1;Dim.2;Dim.3;Dim.4;Dim.5;
moisture;-0.6364;0.6062;-0.4242;0.1068;-0.0125;
om;-0.9026;0.3732;-0.1665;-0.0095;0.0013;
mf;0.9026;-0.3732;0.1665;0.0095;-0.0013;
ph;0.8792;-0.0494;-0.3699;-0.0466;0.163;
mn_ppb;0.8025;0.4736;-0.0654;-0.014;-0.1863;
al_ppb;0.5856;0.6525;0.192;0.253;0.3491;
fe_ppb;0.6982;0.5871;0.1417;0.1735;-0.2871;
doc_254;-0.5973;0.5699;0.4369;-0.2958;0.0541;
e254_356;-0.7833;-0.3465;0.1829;0.4378;-0.0369;

cor
   ;Dim.1;Dim.2;Dim.3;Dim.4;Dim.5;
moisture;-0.6364;0.6062;-0.4242;0.1068;-0.0125;
om;-0.9026;0.3732;-0.1665;-0.0095;0.0013;
mf;0.9026;-0.3732;0.1665;0.0095;-0.0013;
ph;0.8792;-0.0494;-0.3699;-0.0466;0.163;
mn_ppb;0.8025;0.4736;-0.0654;-0.014;-0.1863;
al_ppb;0.5856;0.6525;0.192;0.253;0.3491;
fe_ppb;0.6982;0.5871;0.1417;0.1735;-0.2871;
doc_254;-0.5973;0.5699;0.4369;-0.2958;0.0541;
e254_356;-0.7833;-0.3465;0.1829;0.4378;-0.0369;

cos2
   ;Dim.1;Dim.2;Dim.3;Dim.4;Dim.5;
moisture;0.405;0.3675;0.1799;0.0114;2e-04;
om;0.8147;0.1393;0.0277;1e-04;0;
mf;0.8147;0.1393;0.0277;1e-04;0;
ph;0.7729;0.0024;0.1369;0.0022;0.0266;
mn_ppb;0.6439;0.2243;0.0043;2e-04;0.0347;
al_ppb;0.3429;0.4258;0.0369;0.064;0.1219;
fe_ppb;0.4875;0.3446;0.0201;0.0301;0.0824;
doc_254;0.3567;0.3248;0.1909;0.0875;0.0029;
e254_356;0.6135;0.12;0.0334;0.1916;0.0014;

contrib
   ;Dim.1;Dim.2;Dim.3;Dim.4;Dim.5;
moisture;7.7113;17.6015;27.3522;2.9475;0.0576;
om;15.5125;6.6707;4.2149;0.0233;6e-04;
mf;15.5125;6.6707;4.2149;0.0233;6e-04;
ph;14.7171;0.1168;20.8061;0.5613;9.8446;
mn_ppb;12.2612;10.7396;0.6507;0.0504;12.8509;
al_ppb;6.5287;20.3918;5.6072;16.5285;45.1305;
fe_ppb;9.2822;16.5046;3.053;7.7706;30.5263;
doc_254;6.7922;15.5559;29.0166;22.5996;1.0853;
