"","mn_ppb_norm.1.comps","mn_ppb_norm.2.comps","mn_ppb_norm.3.comps","mn_ppb_norm.4.comps","mn_ppb_norm.5.comps","mn_ppb_norm.6.comps","mn_ppb_norm.7.comps","mn_ppb_norm.8.comps"
"0-10",-0.134089175108996,-0.697991262450649,-0.722687654549767,-0.732124036262658,-0.697651389036573,-0.706744212441298,-0.842822764651556,-0.756095103129148
"0-20",0.366034242605389,0.153296037423084,0.177653058827652,0.184137467098696,0.221106491004072,0.22927667222109,0.0898863652570638,-0.374225422673012
"0-30",-0.296445641750553,-0.838854189190637,-0.839999173336222,-0.842875882690147,-0.792457120463219,-0.776964677609307,-0.815955073244975,-0.801092618585049
"0-40",-0.680805852021654,-0.895034451051123,-0.848869253196943,-0.859831178915634,-0.88012729785709,-0.865660906387356,-0.465923871710642,-0.541848254894702
"0-50",-0.560380616623661,-0.787447874139181,-0.762960952484518,-0.763753237438166,-0.701852187655585,-0.686033029258268,-0.769873078322369,-0.759631162216567
"0-60",-0.837523125629807,-0.939678932633537,-0.86462709139935,-0.868261246704705,-0.826792902577398,-0.798664387448758,-0.808303581014449,-0.816318238741768
"0-70",-0.927646894832358,-1.07791299247154,-1.0295476177158,-1.04194639495326,-0.966806712330315,-0.97895169413122,-0.822589486114348,-0.868612112124474
"0-80",-0.560739791007926,-0.718135710056591,-0.619544951488032,-0.620388408752075,-0.515590726472895,-0.502700542460754,-0.52188795009818,-0.468965808999064
"0-90",-0.0984412467171945,-0.195282028377342,-0.158674189632901,-0.167999061828648,-0.201802196601865,-0.218596338686108,-0.373712673681937,-0.349462454286765
"0-100",0.293054984277584,-0.00930366593490732,0.0641065941281695,0.0734203519403645,0.0994626120853929,0.110533646913478,-0.412600214737762,-0.339529124329566
"10-0",0.521963738668001,1.26121829996479,1.41596477329424,1.40651045677869,1.32538913970763,1.27696364956872,1.50556245383328,1.47460932168268
"10-10",1.30365901033492,2.20254193307796,2.1785490756639,2.1759828772813,2.11473995771631,2.15311677712964,2.26164602921283,2.32694738932147
"10-20",0.630084354067289,-0.284397645753297,-0.278407880542198,-0.270304179600336,-0.299068299098939,-0.32538394684947,-0.0389110470749279,-0.0037820509578084
"10-30",0.564352790061595,0.0491297720261389,-0.00309885335439376,-0.00117788315018093,-0.0289175250451591,-0.0185574045952797,-0.070889872021573,-0.0992589528877521
"10-40",1.05967299747788,1.92724189258363,1.85753777024661,1.84539495615606,1.77811496109904,1.79982563209216,1.72497546731664,1.67802823456471
"10-50",0.917420264449308,1.46464253735741,1.48765547431357,1.49030532033173,1.71691754379788,1.6995825889727,1.82948031225106,1.83717940431794
"10-60",0.184380448286165,-0.397002162474179,-0.442511655898014,-0.457822346701973,-0.5585089545382,-0.598661305599951,-0.939986717054643,-0.93814990444643
"10-70",0.50466813866262,0.906348006331352,0.802772435519804,0.802312581916207,1.15148379357689,1.13942755468779,1.18068660072388,1.18441800552133
"10-80",0.895784031113594,0.675157860338852,0.678070877474712,0.690277171941872,0.616500541972829,0.628481039650595,0.679411615097737,0.756871928273821
"10-90",0.525507471322625,-0.755981103275484,-0.853006101393503,-0.84907007362785,-0.821027177242388,-0.816183392042091,-0.563205302451738,-0.577650866564329
"10-100",0.990669834649969,0.904279882544351,0.991969754955737,1.01152766552955,0.883643381567335,0.877843511309821,0.951236141370084,0.957713535047606
"20-10",0.0502523809162321,0.522647501451151,0.416940848223242,0.404150374179684,0.349812828900983,0.33733137330603,0.175147092464479,0.136823299545372
"20-20",0.366578286452637,0.265807856661043,0.267639261597496,0.268131282894171,0.204727670810049,0.198691330896211,0.0982049616038498,-0.00334668892929288
"20-30",-0.0225184870549588,0.383972816543922,0.471797653106307,0.470200651746212,0.524082663114278,0.537056376895444,0.427392623792395,0.443321356988349
"20-50",-0.736091796536199,-0.420894622967991,-0.429450456050878,-0.428208957890838,-0.503686350935835,-0.509228781193019,-0.591300243176707,-0.585881706617228
"20-60",-1.10869164941834,-0.586668003897523,-0.635934639021537,-0.613940401967143,-0.594746712523672,-0.602946962183972,-0.619864398657657,-0.616535630432123
"20-70",-1.12728932152786,-0.574918487507767,-0.67102214739399,-0.655073789004024,-0.703463223677499,-0.742398116192508,-0.699374138434891,-0.720642847377983
"20-80",-0.674266745618758,-0.676516511195363,-0.703635138782937,-0.706958468300627,-0.74038660603712,-0.718921919302147,-0.646070687160483,-0.668329458156347
"20-90",-0.520350940361861,-0.451390261374253,-0.529876670589833,-0.537437355990563,-0.67955005839592,-0.660146509126435,-0.416921188628549,-0.414284879340427
"20-100",-0.888801689135685,-0.408874491552303,-0.416803150520617,-0.405178254015701,-0.473546144863013,-0.461386028135732,-0.503437374685902,-0.512369509175178
