"","mn_ppb_log.1.comps","mn_ppb_log.2.comps","mn_ppb_log.3.comps","mn_ppb_log.4.comps","mn_ppb_log.5.comps","mn_ppb_log.6.comps","mn_ppb_log.7.comps","mn_ppb_log.8.comps"
"0-10",5.92771029358042,5.34368459885405,5.43406058600217,5.04134005822657,5.00001735751792,5.14445327512583,5.17891308240543,5.16568568701024
"0-20",6.78744548343217,6.56711542815227,6.47798136174326,6.74784753672407,6.70353240477862,6.57375229484162,6.60905075324382,6.67983543737754
"0-30",5.64861204957168,5.0868469207395,5.09103696890568,4.97131493453871,4.91087746920743,4.66478611782036,4.67465983779707,4.67239306891527
"0-40",4.98787914516368,4.7660055093198,4.59706482716613,4.14085466264938,4.16518381970728,3.93539089033834,3.83416361422657,3.84574333191851
"0-50",5.19489567138634,4.95972521219318,4.87011577823713,4.83714269865938,4.76294130249327,4.5116602034109,4.53289141057863,4.53132934985247
"0-60",4.71847493371062,4.61267355880005,4.33802274293997,4.18677754822854,4.1370690369553,3.69025865554597,3.69269963354882,3.69392200072505
"0-70",4.56354802350991,4.40791947728257,4.2309272887153,3.71491866500608,3.62484798966724,3.81776624098106,3.77816990881441,3.78518911653517
"0-80",5.19427823407685,5.03126542913612,4.67047438348241,4.63537162990914,4.5097496191775,4.30499412431538,4.30985304115894,4.3017815438628
"0-90",5.98899072436651,5.88869404865542,5.75472834424769,5.366648586394,5.40716873595162,5.67393706679974,5.71321790072289,5.70951934325311
"0-100",6.66199077707101,6.34884205017175,6.0801985700483,6.46781577279268,6.43659865985406,6.26073963311517,6.39321526399989,6.38207072040422
"10-0",7.0554954690008,7.82113132748169,7.25483948903384,6.86137255597479,6.95861347525883,7.72783330858264,7.66994416579449,7.6746650277489
"10-10",8.39926564449891,9.33022641803938,9.41802783310422,9.31122855199649,9.38464104100873,8.77504038342238,8.74755701407254,8.73759748219035
"10-20",7.24135978671663,6.29424326197074,6.27232382768391,6.60958124346605,6.64406107593709,7.0620747732359,6.9895299029627,6.98417215304392
"10-30",7.12836420071118,6.59475475360717,6.78588443591908,6.86583080258725,6.89908258369572,6.73451615178535,6.7477685469107,6.75209529852637
"10-40",7.97984245083312,8.8783717133789,9.13345265148591,8.6280966259019,8.70874581658307,8.36388036091558,8.38283501770107,8.38999524316338
"10-50",7.73530345084753,8.30205408944068,8.21783867504964,8.32811917857706,8.05647688125651,8.33183580943776,8.29894120233381,8.29776696411309
"10-60",6.47517424434471,5.87304421011871,6.03958535411587,5.40238957759008,5.52308360302128,6.16088788136074,6.24732330933461,6.24704316518902
"10-70",7.02576353598678,7.44177789209378,7.82081076535535,7.8016727148399,7.38311775499294,7.57462636011363,7.56417813920115,7.56360903857317
"10-80",7.69810976921676,7.46961025564169,7.45895012366062,7.96694805667966,8.05538482741879,7.86507934160144,7.85218195412897,7.84036798184113
"10-90",7.06158730865216,5.73436708396425,6.08942825839681,6.25323669138494,6.21962139614114,6.1426797764747,6.07861695340927,6.0808201396231
"10-100",7.86122283576821,7.77174994157533,7.45085048588706,8.26480579168446,8.41810193853543,8.51023059267992,8.49164503421725,8.49065712510269
"20-10",6.24460191883406,6.73385509708768,7.12068662678051,6.58837648188419,6.65351143093724,6.85177443591351,6.89284511877133,6.89869012776946
"20-20",6.78838071986328,6.68401416122125,6.67731216894903,6.6977889649484,6.77379149729866,6.86967637877513,6.8951230113546,6.91061130898717
"20-30",6.11950544509402,6.54050293971888,6.21910958523247,6.15264605757147,6.08805716148988,5.88197482915389,5.90974549349525,5.90731609959221
"20-50",4.89284006017028,5.21928547046618,5.25059538236089,5.3022636835676,5.39273917570525,5.48077849686464,5.50156183646648,5.50073542048481
"20-60",4.25232375177517,4.79297651593878,4.97326685004624,5.8886164667561,5.86560880276193,5.9958665380748,6.00015061951952,5.99964292759373
"20-70",4.22035349684301,4.79243642990319,5.14412598422777,5.80786002070757,5.86586491117504,6.48433034012509,6.47343517731032,6.47667900537852
"20-80",4.99912017024994,4.99679011875103,5.09603023157774,4.95772089205871,4.9977915289864,4.65683343635248,4.63838497861313,4.64177980743482
"20-90",5.26370852857651,5.33513016250662,5.62234971595799,5.30769135947548,5.4780432512197,5.16982551522672,5.1082324314252,5.10783035088105
"20-100",4.63032472124401,5.12737876888561,5.15639354878326,5.64019503431562,5.72214829636239,5.52898963270559,5.53963849157739,5.54100078905594
