"","mn_ppb_norm.1.comps","mn_ppb_norm.2.comps"
"0-10",-0.134089175108996,-0.697991262450649
"0-20",0.366034242605389,0.153296037423084
"0-30",-0.296445641750553,-0.838854189190637
"0-40",-0.680805852021654,-0.895034451051123
"0-50",-0.560380616623661,-0.787447874139181
"0-60",-0.837523125629807,-0.939678932633537
"0-70",-0.927646894832358,-1.07791299247154
"0-80",-0.560739791007926,-0.718135710056591
"0-90",-0.0984412467171945,-0.195282028377342
"0-100",0.293054984277584,-0.00930366593490732
"10-0",0.521963738668001,1.26121829996479
"10-10",1.30365901033492,2.20254193307796
"10-20",0.630084354067289,-0.284397645753297
"10-30",0.564352790061595,0.0491297720261389
"10-40",1.05967299747788,1.92724189258363
"10-50",0.917420264449308,1.46464253735741
"10-60",0.184380448286165,-0.397002162474179
"10-70",0.50466813866262,0.906348006331352
"10-80",0.895784031113594,0.675157860338852
"10-90",0.525507471322625,-0.755981103275484
"10-100",0.990669834649969,0.904279882544351
"20-10",0.0502523809162321,0.522647501451151
"20-20",0.366578286452637,0.265807856661043
"20-30",-0.0225184870549588,0.383972816543922
"20-50",-0.736091796536199,-0.420894622967991
"20-60",-1.10869164941834,-0.586668003897523
"20-70",-1.12728932152786,-0.574918487507767
"20-80",-0.674266745618758,-0.676516511195363
"20-90",-0.520350940361861,-0.451390261374253
"20-100",-0.888801689135685,-0.408874491552303
