"","mn_ppb_log.1.comps","mn_ppb_log.2.comps"
"0-10",5.92771029358042,5.34368459885405
"0-20",6.78744548343217,6.56711542815227
"0-30",5.64861204957168,5.0868469207395
"0-40",4.98787914516368,4.7660055093198
"0-50",5.19489567138634,4.95972521219318
"0-60",4.71847493371062,4.61267355880005
"0-70",4.56354802350991,4.40791947728257
"0-80",5.19427823407685,5.03126542913612
"0-90",5.98899072436651,5.88869404865542
"0-100",6.66199077707101,6.34884205017175
"10-0",7.0554954690008,7.82113132748169
"10-10",8.39926564449891,9.33022641803938
"10-20",7.24135978671663,6.29424326197074
"10-30",7.12836420071118,6.59475475360717
"10-40",7.97984245083312,8.8783717133789
"10-50",7.73530345084753,8.30205408944068
"10-60",6.47517424434471,5.87304421011871
"10-70",7.02576353598678,7.44177789209378
"10-80",7.69810976921676,7.46961025564169
"10-90",7.06158730865216,5.73436708396425
"10-100",7.86122283576821,7.77174994157533
"20-10",6.24460191883406,6.73385509708768
"20-20",6.78838071986328,6.68401416122125
"20-30",6.11950544509402,6.54050293971888
"20-50",4.89284006017028,5.21928547046618
"20-60",4.25232375177517,4.79297651593878
"20-70",4.22035349684301,4.79243642990319
"20-80",4.99912017024994,4.99679011875103
"20-90",5.26370852857651,5.33513016250662
"20-100",4.63032472124401,5.12737876888561
